date,hour,month,year,day_name,is_weekend,type,source,cashflow
2022-10-02,10,10,2022,Sunday,No,Delivery,Cashier,0.0
2022-10-02,10,10,2022,Sunday,No,Pick Up,Cashier,40.0
2022-10-02,11,10,2022,Sunday,No,Pick Up,Cashier,0.0
2022-10-02,13,10,2022,Sunday,No,Delivery,Cashier,3.75
2022-10-02,13,10,2022,Sunday,No,Dine In,Cashier,0.0
2022-10-02,13,10,2022,Sunday,No,Pick Up,Cashier,0.0
2022-10-13,13,10,2022,Thursday,No,Dine In,Cashier,2.0
2022-10-13,14,10,2022,Thursday,No,Dine In,Cashier,3.5
2022-10-13,14,10,2022,Thursday,No,Pick Up,Cashier,38.75
2022-10-13,15,10,2022,Thursday,No,Dine In,Cashier,0.0
2022-10-13,15,10,2022,Thursday,No,Pick Up,Cashier,23.0
2022-10-13,16,10,2022,Thursday,No,Pick Up,Cashier,34.25
2022-10-13,17,10,2022,Thursday,No,Dine In,Cashier,0.0
2022-10-13,17,10,2022,Thursday,No,Pick Up,Cashier,19.5
2022-10-13,18,10,2022,Thursday,No,Dine In,Cashier,0.0
2022-10-13,18,10,2022,Thursday,No,Pick Up,Cashier,53.75
2022-10-14,13,10,2022,Friday,Yes,Pick Up,Cashier,51.25
2022-10-14,14,10,2022,Friday,Yes,Pick Up,Cashier,27.75
2022-10-14,15,10,2022,Friday,Yes,Dine In,Cashier,0.0
2022-10-14,15,10,2022,Friday,Yes,Pick Up,Cashier,27.0
2022-10-14,16,10,2022,Friday,Yes,Dine In,Cashier,0.0
2022-10-14,16,10,2022,Friday,Yes,Pick Up,Cashier,41.5
2022-10-14,17,10,2022,Friday,Yes,Pick Up,Cashier,48.6
2022-10-14,18,10,2022,Friday,Yes,Pick Up,Cashier,24.0
2022-10-15,12,10,2022,Saturday,Yes,Pick Up,Cashier,5.0
2022-10-15,13,10,2022,Saturday,Yes,Pick Up,Cashier,31.0
2022-10-15,14,10,2022,Saturday,Yes,Pick Up,Cashier,3.75
2022-10-15,15,10,2022,Saturday,Yes,Pick Up,Cashier,8.75
2022-10-15,16,10,2022,Saturday,Yes,Pick Up,Cashier,18.75
2022-10-15,17,10,2022,Saturday,Yes,Pick Up,Cashier,13.75
2022-10-15,18,10,2022,Saturday,Yes,Pick Up,Cashier,25.25
2022-10-15,19,10,2022,Saturday,Yes,Pick Up,Cashier,30.5
2022-10-15,20,10,2022,Saturday,Yes,Pick Up,Cashier,5.25
2022-10-16,12,10,2022,Sunday,No,Pick Up,Cashier,8.75
2022-10-16,14,10,2022,Sunday,No,Pick Up,Cashier,14.75
2022-10-16,15,10,2022,Sunday,No,Pick Up,Cashier,3.75
2022-10-16,16,10,2022,Sunday,No,Pick Up,Cashier,17.25
2022-10-16,17,10,2022,Sunday,No,Pick Up,Cashier,49.0
2022-10-16,18,10,2022,Sunday,No,Pick Up,Cashier,56.75
2022-10-16,19,10,2022,Sunday,No,Pick Up,Cashier,55.5
2022-10-16,20,10,2022,Sunday,No,Pick Up,Cashier,14.5
2022-10-16,21,10,2022,Sunday,No,Pick Up,Cashier,18.5
2022-10-17,12,10,2022,Monday,No,Pick Up,Cashier,31.25
2022-10-17,13,10,2022,Monday,No,Pick Up,Cashier,7.5
2022-10-17,14,10,2022,Monday,No,Dine In,Cashier,0.0
2022-10-17,14,10,2022,Monday,No,Pick Up,Cashier,7.5
2022-10-17,15,10,2022,Monday,No,Pick Up,Cashier,21.0
2022-10-17,16,10,2022,Monday,No,Pick Up,Cashier,9.0
2022-10-17,17,10,2022,Monday,No,Pick Up,Cashier,10.5
2022-10-17,18,10,2022,Monday,No,Pick Up,Cashier,15.75
2022-10-17,19,10,2022,Monday,No,Pick Up,Cashier,19.0
2022-10-18,12,10,2022,Tuesday,No,Pick Up,Cashier,36.75
2022-10-18,13,10,2022,Tuesday,No,Pick Up,Cashier,55.5
2022-10-18,14,10,2022,Tuesday,No,Pick Up,Cashier,6.5
2022-10-18,15,10,2022,Tuesday,No,Pick Up,Cashier,24.5
2022-10-18,16,10,2022,Tuesday,No,Pick Up,Cashier,49.25
2022-10-18,17,10,2022,Tuesday,No,Pick Up,Cashier,5.25
2022-10-18,18,10,2022,Tuesday,No,Pick Up,Cashier,31.75
2022-10-18,19,10,2022,Tuesday,No,Pick Up,Cashier,11.5
2022-10-18,20,10,2022,Tuesday,No,Pick Up,Cashier,19.5
2022-10-18,21,10,2022,Tuesday,No,Pick Up,Cashier,6.5
2022-10-19,13,10,2022,Wednesday,No,Pick Up,Cashier,0.0
2022-10-19,14,10,2022,Wednesday,No,Pick Up,Cashier,16.75
2022-10-19,15,10,2022,Wednesday,No,Pick Up,Cashier,47.5
2022-10-19,16,10,2022,Wednesday,No,Pick Up,Cashier,19.5
2022-10-19,17,10,2022,Wednesday,No,Pick Up,Cashier,12.0
2022-10-19,18,10,2022,Wednesday,No,Pick Up,Cashier,8.0
2022-10-19,19,10,2022,Wednesday,No,Pick Up,Cashier,16.0
2022-10-19,20,10,2022,Wednesday,No,Pick Up,Cashier,11.75
2022-10-19,21,10,2022,Wednesday,No,Pick Up,Cashier,5.0
2022-10-20,9,10,2022,Thursday,No,Pick Up,Cashier,9.5
2022-10-20,10,10,2022,Thursday,No,Pick Up,Cashier,7.0
2022-10-20,11,10,2022,Thursday,No,Pick Up,Cashier,55.5
2022-10-20,12,10,2022,Thursday,No,Pick Up,Cashier,20.5
2022-10-20,13,10,2022,Thursday,No,Pick Up,Cashier,63.05
2022-10-20,14,10,2022,Thursday,No,Pick Up,Cashier,28.25
2022-10-20,15,10,2022,Thursday,No,Pick Up,Cashier,40.75
2022-10-20,16,10,2022,Thursday,No,Pick Up,Cashier,34.5
2022-10-20,17,10,2022,Thursday,No,Pick Up,Cashier,87.0
2022-10-20,18,10,2022,Thursday,No,Dine In,Cashier,0.0
2022-10-20,18,10,2022,Thursday,No,Pick Up,Cashier,17.25
2022-10-20,19,10,2022,Thursday,No,Pick Up,Cashier,34.0
2022-10-20,20,10,2022,Thursday,No,Pick Up,Cashier,12.0
2022-10-21,12,10,2022,Friday,Yes,Pick Up,Cashier,38.0
2022-10-21,13,10,2022,Friday,Yes,Pick Up,Cashier,47.25
2022-10-21,14,10,2022,Friday,Yes,Pick Up,Cashier,40.25
2022-10-21,15,10,2022,Friday,Yes,Pick Up,Cashier,10.25
2022-10-21,16,10,2022,Friday,Yes,Pick Up,Cashier,54.0
2022-10-21,17,10,2022,Friday,Yes,Pick Up,Cashier,3.75
2022-10-21,18,10,2022,Friday,Yes,Pick Up,Cashier,97.75
2022-10-21,19,10,2022,Friday,Yes,Pick Up,Cashier,54.25
