id,app_id,promotion_id,discount_type,reference_x,number,type,source,status,delivery_status,guests,kitchen_notes,customer_notes,business_date,subtotal_price,discount_amount,rounding_amount,total_price,tax_exclusive_discount_amount,delay_in_seconds,meta,opened_at,accepted_at,due_at,driver_assigned_at,dispatched_at,driver_collected_at,delivered_at,closed_at,created_at,updated_at,reference,check_number
1ad99c5e-ce35-451f-b1e6-042a0540babb,8f7884c0-9e14-4833-ba96-3221471e8709,,,,1,2,1,4,1,1,careem# 7240,,2023-05-30,8.33333,0,0,9.0,0,,"{'foodics': {'device_id': '976d8299-1e72-40e0-8537-dfb522894c0d', 'auto_closed': False, 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:48:30', 'kitchen_sent_at': '2023-05-30 08:27:25'}], 'kitchen_done_at': '2023-05-30 08:48:30', 'products_kitchen': [{'uuid': '151aee71-fb99-44bb-a263-6251eca0ad52', 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:48:30', 'kitchen_sent_at': '2023-05-30 08:27:25'}], 'kitchen_done_at': '2023-05-30 08:48:30', 'kitchen_sent_at': '2023-05-30 08:27:25'}], 'kitchen_received_at': '2023-05-30 08:27:25'}}",2023-05-30 08:27:10,,,,,,,2023-05-30 08:27:25,2023-05-30 11:27:58+03:00,2023-05-30 08:49:02,96764,138577
2442e413-a74a-4c03-92db-c848098d853d,8f7884c0-9e14-4833-ba96-3221471e8709,,,,2,2,1,4,1,1,talabat#59 16,,2023-05-30,8.33333,0,0,9.0,0,,"{'foodics': {'device_id': '976d8299-1e72-40e0-8537-dfb522894c0d', 'auto_closed': False, 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:44:15'}], 'kitchen_done_at': '2023-05-30 08:57:27', 'products_kitchen': [{'uuid': 'a0548d79-019e-44f9-b48e-592d0a6f8292', 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:44:15'}], 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:44:15'}], 'kitchen_received_at': '2023-05-30 08:44:15'}}",2023-05-30 08:44:03,,,,,,,2023-05-30 08:44:14,2023-05-30 11:45:01+03:00,2023-05-30 08:58:10,96767,138578
4957f7c5-2c60-4cc1-b11a-72b1d438eea0,8f7884c0-9e14-4833-ba96-3221471e8709,,,,8,2,1,4,1,1,,,2023-05-30,4.62963,0,0,5.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'products_kitchen': [{'uuid': 'cd7120b6-b2ee-4bb9-9e30-b71d7ca3d928', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 09:02:59'}], 'kitchen_received_at': '2023-05-30 09:02:59'}}",2023-05-30 09:02:43,,,,,,,2023-05-30 09:02:56,2023-05-30 12:03:47+03:00,2023-05-30 09:03:47,96777,127375
55ac8205-f393-4f56-9b4a-8bae6dad280c,8f7884c0-9e14-4833-ba96-3221471e8709,,,,7,2,1,4,1,1,,,2023-05-30,3.47222,0,0,3.75,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 09:00:52'}], 'kitchen_done_at': '2023-05-30 09:02:53', 'products_kitchen': [{'uuid': 'b48c3966-2a26-40bf-bb6a-e2795c85ec65', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 09:00:52'}], 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 09:00:52'}], 'kitchen_received_at': '2023-05-30 09:00:52'}}",2023-05-30 09:00:35,,,,,,,2023-05-30 09:00:50,2023-05-30 12:01:40+03:00,2023-05-30 09:03:50,96775,127374
5ce77e16-0fd2-4c06-b79c-369b9aa80c7b,8f7884c0-9e14-4833-ba96-3221471e8709,,,,2,2,1,4,1,1,,,2023-05-30,9.25926,0,0,10.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'products_kitchen': [{'uuid': '5f0034cd-a78c-436c-b403-43c65f6591d2', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:34:49'}], 'kitchen_received_at': '2023-05-30 08:34:49'}}",2023-05-30 08:34:31,,,,,,,2023-05-30 08:34:46,2023-05-30 11:35:03+03:00,2023-05-30 08:35:03,96766,127369
6b2b8970-870a-4169-99ac-cd481c37023a,8f7884c0-9e14-4833-ba96-3221471e8709,,,,1,2,1,4,1,1,,,2023-05-30,8.33333,0,0,9.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'products_kitchen': [{'uuid': '6b2ed16e-76af-40c8-bcdd-26e9e06e33e1', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:15:12'}], 'kitchen_received_at': '2023-05-30 08:15:12'}}",2023-05-30 08:14:47,,,,,,,2023-05-30 08:15:09,2023-05-30 11:15:40+03:00,2023-05-30 08:15:40,96762,127368
70d1da11-9be7-4b99-ae20-f934f1c868b1,8f7884c0-9e14-4833-ba96-3221471e8709,,,,3,2,1,4,1,1,talabat#59 17,,2023-05-30,3.47222,0,0,3.75,0,,"{'foodics': {'device_id': '976d8299-1e72-40e0-8537-dfb522894c0d', 'auto_closed': False, 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:53:05'}], 'kitchen_done_at': '2023-05-30 08:57:27', 'products_kitchen': [{'uuid': 'ad29ce60-8648-45b2-9255-d0fd341e0be2', 'kitchen_times': [{'kds_id': '9777df28-98fc-4ae1-8971-887ec87a673a', 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:53:05'}], 'kitchen_done_at': '2023-05-30 08:57:27', 'kitchen_sent_at': '2023-05-30 08:53:05'}], 'kitchen_received_at': '2023-05-30 08:53:05'}}",2023-05-30 08:52:53,,,,,,,2023-05-30 08:53:05,2023-05-30 11:53:06+03:00,2023-05-30 08:58:07,96769,138579
8445d388-bd2a-4bc6-a18c-bf2b3f180f80,8f7884c0-9e14-4833-ba96-3221471e8709,,,,9,2,1,4,1,1,,,2023-05-30,6.48148,0,0,7.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_sent_at': '2023-05-30 09:05:46'}], 'products_kitchen': [{'uuid': '952a2674-a949-40bf-ae5f-97329c3aa5e7', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 09:05:47'}, {'uuid': 'd7478170-7d2a-4829-8949-d6d191a6f798', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_sent_at': '2023-05-30 09:05:46'}], 'kitchen_sent_at': '2023-05-30 09:05:46'}, {'uuid': '09273a5f-b609-4840-944c-ff9e25e1774a', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 09:05:47'}], 'kitchen_received_at': '2023-05-30 09:05:46'}}",2023-05-30 09:05:08,,,,,,,2023-05-30 09:05:44,2023-05-30 12:05:51+03:00,2023-05-30 09:05:51,96778,127376
8dd1de5c-8c1e-4db3-8562-34e2aa72567f,8f7884c0-9e14-4833-ba96-3221471e8709,,,,1,2,1,4,1,1,,,2023-05-30,4.86111,0,0,5.25,0,,"{'foodics': {'device_id': '975b3d24-d6cc-45dc-8308-a6b5aa252606', 'auto_closed': False, 'products_kitchen': [{'uuid': '2a0b9590-7043-419c-87b1-53663fc420ed', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:26:46'}], 'kitchen_received_at': '2023-05-30 08:26:46'}}",2023-05-30 08:25:22,,,,,,,2023-05-30 08:26:43,2023-05-30 11:26:44+03:00,2023-05-30 08:27:45,96763,130667
8eb688ce-257c-4929-a3c6-bb50d9937fdc,8f7884c0-9e14-4833-ba96-3221471e8709,,,,3,2,1,4,1,1,طلبات 983,,2023-05-30,9.72222,0,0,10.5,0,,"{'foodics': {'device_id': '975b3d24-d6cc-45dc-8308-a6b5aa252606', 'auto_closed': False, 'kitchen_times': [{'kds_id': '9767567a-3234-40cc-a6e6-6cb11f66019f', 'kitchen_done_at': '2023-05-30 08:59:12', 'kitchen_sent_at': '2023-05-30 08:54:19'}], 'kitchen_done_at': '2023-05-30 08:59:12', 'products_kitchen': [{'uuid': '94356ffa-e9da-4e03-8daa-03459dd8b407', 'kitchen_times': [{'kds_id': '9767567a-3234-40cc-a6e6-6cb11f66019f', 'kitchen_done_at': '2023-05-30 08:59:12', 'kitchen_sent_at': '2023-05-30 08:54:19'}], 'kitchen_done_at': '2023-05-30 08:59:12', 'kitchen_sent_at': '2023-05-30 08:54:19'}], 'kitchen_received_at': '2023-05-30 08:54:19'}}",2023-05-30 08:54:02,,,,,,,2023-05-30 08:54:18,2023-05-30 11:54:26+03:00,2023-05-30 08:59:28,96770,130669
921a47ff-8b8d-4995-ac92-7d65712a6e1f,8f7884c0-9e14-4833-ba96-3221471e8709,,,,2,2,1,4,1,1,,,2023-05-30,4.86111,0,0,5.25,0,,"{'foodics': {'device_id': '975b3d24-d6cc-45dc-8308-a6b5aa252606', 'auto_closed': False, 'products_kitchen': [{'uuid': '27e89e2d-a7da-4986-a710-81d75f89017c', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:29:35'}], 'kitchen_received_at': '2023-05-30 08:29:35'}}",2023-05-30 08:29:21,,,,,,,2023-05-30 08:29:33,2023-05-30 11:29:46+03:00,2023-05-30 08:29:46,96765,130668
b4f4c2c7-814f-4a92-8c3f-3c189725621b,8f7884c0-9e14-4833-ba96-3221471e8709,,,,6,2,1,4,1,1,,,2023-05-30,7.40741,0,0,8.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 08:59:20'}], 'kitchen_done_at': '2023-05-30 09:02:53', 'products_kitchen': [{'uuid': 'ac78283b-a631-442a-a468-fb5de1d42c09', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 08:59:20'}], 'kitchen_done_at': '2023-05-30 09:02:53', 'kitchen_sent_at': '2023-05-30 08:59:20'}], 'kitchen_received_at': '2023-05-30 08:59:20'}}",2023-05-30 08:59:02,,,,,,,2023-05-30 08:59:18,2023-05-30 11:59:39+03:00,2023-05-30 09:03:42,96774,127373
b84a4b40-63fd-4b4c-ae9e-78c8b3055e60,8f7884c0-9e14-4833-ba96-3221471e8709,,,,5,2,1,4,1,1,,,2023-05-30,24.0,0,0,24.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'products_kitchen': [{'uuid': 'e112c2e1-303c-4f2c-b5ad-400f9f50c06f', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:57:54'}, {'uuid': '354e1fbc-76ce-4595-8dfb-e114faddc98e', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:57:54'}], 'kitchen_received_at': '2023-05-30 08:57:54'}}",2023-05-30 08:56:55,,,,,,,2023-05-30 08:57:51,2023-05-30 11:58:37+03:00,2023-05-30 08:58:37,96773,127372
bc2faa54-3697-43a5-8b14-08be0c18d50c,8f7884c0-9e14-4833-ba96-3221471e8709,,,,4,2,1,4,1,1,,,2023-05-30,5.32407,0,0,5.75,0,,"{'foodics': {'device_id': '975b3d24-d6cc-45dc-8308-a6b5aa252606', 'auto_closed': False, 'kitchen_times': [{'kds_id': '9767567a-3234-40cc-a6e6-6cb11f66019f', 'kitchen_sent_at': '2023-05-30 08:56:25'}], 'products_kitchen': [{'uuid': '38ac34b5-501f-4c10-bf18-1e2e57a313fd', 'kitchen_times': [{'kds_id': '9767567a-3234-40cc-a6e6-6cb11f66019f', 'kitchen_sent_at': '2023-05-30 08:56:25'}], 'kitchen_sent_at': '2023-05-30 08:56:25'}, {'uuid': '0843e33c-a405-47f1-9e4e-8640dceb1ac7', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:56:26'}], 'kitchen_received_at': '2023-05-30 08:56:25'}}",2023-05-30 08:56:11,,,,,,,2023-05-30 08:56:25,2023-05-30 11:56:27+03:00,2023-05-30 08:56:27,96772,130670
dc229cd4-3fa9-47aa-aafa-1486d8dfa0ae,8f7884c0-9e14-4833-ba96-3221471e8709,,,,4,1,1,4,1,1,,,2023-05-30,9.72222,0,0,10.5,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:55', 'kitchen_sent_at': '2023-05-30 08:54:05'}], 'kitchen_done_at': '2023-05-30 09:02:55', 'products_kitchen': [{'uuid': '68adaa4a-e396-4794-8177-7877c2634a77', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:55', 'kitchen_sent_at': '2023-05-30 08:54:05'}], 'kitchen_done_at': '2023-05-30 09:02:55', 'kitchen_sent_at': '2023-05-30 08:54:05'}, {'uuid': 'c476ead1-71a1-46eb-bd5f-df7c196a030c', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 09:02:55', 'kitchen_sent_at': '2023-05-30 08:54:05'}], 'kitchen_done_at': '2023-05-30 09:02:55', 'kitchen_sent_at': '2023-05-30 08:54:05'}, {'uuid': '19622e51-3d64-4a6e-b02e-b9d9b7a9660c', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 08:54:07'}], 'kitchen_received_at': '2023-05-30 08:54:05'}}",2023-05-30 08:53:46,,,,,,,2023-05-30 08:54:05,2023-05-30 11:54:36+03:00,2023-05-30 09:03:44,96771,127371
eae5c4a9-eca0-44a8-81e2-c9f7e4421868,8f7884c0-9e14-4833-ba96-3221471e8709,,,,5,2,1,4,1,1,,,2023-05-30,2.77778,0,0,3.0,0,,"{'foodics': {'device_id': '975b3d24-d6cc-45dc-8308-a6b5aa252606', 'auto_closed': False, 'products_kitchen': [{'uuid': '6dc5c306-ed3c-4bcb-ae7f-b20a65ee0485', 'kitchen_times': [], 'kitchen_sent_at': '2023-05-30 09:02:57'}], 'kitchen_received_at': '2023-05-30 09:02:57'}}",2023-05-30 09:02:47,,,,,,,2023-05-30 09:02:55,2023-05-30 12:03:29+03:00,2023-05-30 09:03:29,96776,130671
f209cead-5164-4778-8656-ed39e840bac3,8f7884c0-9e14-4833-ba96-3221471e8709,,,,3,2,1,4,1,1,,,2023-05-30,1.85185,0,0,2.0,0,,"{'foodics': {'device_id': '975b3d24-d457-4cb1-a8ee-ea645ff8e6dd', 'auto_closed': False, 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 08:53:01', 'kitchen_sent_at': '2023-05-30 08:45:58'}], 'kitchen_done_at': '2023-05-30 08:53:01', 'products_kitchen': [{'uuid': '069d5d34-d46d-476a-a074-23e0359f1164', 'kitchen_times': [{'kds_id': '975b3d24-ecad-4c9e-b5e9-0b0a0c29b6c8', 'kitchen_done_at': '2023-05-30 08:53:01', 'kitchen_sent_at': '2023-05-30 08:45:58'}], 'kitchen_done_at': '2023-05-30 08:53:01', 'kitchen_sent_at': '2023-05-30 08:45:58'}], 'kitchen_received_at': '2023-05-30 08:45:58'}}",2023-05-30 08:45:47,,,,,,,2023-05-30 08:45:58,2023-05-30 11:46:34+03:00,2023-05-30 08:53:35,96768,127370
